0;Подделка;{"name": "Подделка"}
1;Обман;{"name": "Обман"}
2;Тусовка;{"name": "Тусовка"}
3;Рофл;{"name": "Рофл"}
4;Фаворит;{"name": "Фаворит"}
5;Краш;{"name": "Краш"}
6;Мерзость стыд;{"name": "Мерзость, стыд"}
7;Местный человек;{"name": "Местный человек"}
8;Восторг;{"name": "Восторг"}
9;Шутить;{"name": "Шутить"}
10;Стыдить;{"name": "Стыдить"}
11;Тусить;{"name": "Тусить"}
12;Шутка;{"name": "Шутка"}
13;Отдых;{"name": "Отдых"}
14;Работа;{"name": "Работа"}
15;То что на пике популярности;{"name": "То что на пике популярности"}
16;То что все ненавидят;{"name": "То что все ненавидят"}
17;Лайфхак секрет;{"name": "Лайфхак секрет"}
18;Домосед;{"name": "Домосед"}
19;Ботан;{"name": "Ботан"}
20;Силач;{"name": "Силач"}
21;Позор;{"name": "Позор"}
22;Атмосфера;{"name": "Атмосфера"}
23;Одежда;{"name": "Одежда"}
24;Верная девушка;{"name": "Верная девушка"}
25;Достижение в игре;{"name": "Достижение в игре"}
26;Починка;{"name": "Починка"}
27;Эти фанаты так странно шутят про неё;{"name": "Эти фанаты так странно шутят про неё"}
28;Эти люди пишут ей хорошие комментарии;{"name": "Эти люди пишут ей хорошие комментарии"}
29;Эти злопыхатели её подкалывают;{"name": "Эти злопыхатели её подкалывают"}
30;Зажигалка;{"name": "Зажигалка"}
31;Раскрытие секрета;{"name": "Раскрытие секрета"}
32;Подделка одежды;{"name": "Подделка одежды"}
33;То что упало;{"name": "То что упало"}
34;Привоз вещей из ограниченной коллекции;{"name": "Привоз вещей из ограниченной коллекции"}
35;Раскрытый секрет;{"name": "Раскрытый секрет"}
36;Китайская игра;{"name": "Китайская игра"}
37;Начинай давай;{"name": "Начинай давай"}
38;Гражданская оборона;{"name": "Гражданская оборона"}
39;Шмот;{"name": "Шмот"}
40;Байт;{"name": "Байт"}
41;Пруф;{"name": "Пруф"}
42;Любовник;{"name": "Любовник"}
43;Одобрение;{"name": "Одобрение"}
44;Бренд одежды;{"name": "Бренд одежды"}
45;Название коктейля;{"name": "Название коктейля"}
46;Уверенный в себе человек;{"name": "Уверенный в себе человек"}
47;Бренд одежды Stone Island;{"name": "Бренд одежды Stone Island"}
48;Тот кто кусается;{"name": "Тот кто кусается"}
49;Тот кто ест маленькими кусочками;{"name": "Тот кто ест маленькими кусочками"}
50;Тот кто копирует чей-то стиль;{"name": "Тот кто копирует чей-то стиль"}
